count,description,amount_per_100g,amount_per_cup
990645,"Sushi, topped with eel",0.0,0.0
990841,"Sushi, topped with salmon",0.0,0.0
991036,"Sushi, topped with shrimp",0.1,0.13999999999999999
991230,"Sushi, topped with tuna",0.0,0.0
991425,"Sushi, topped with egg",0.2,0.30000000000000004
992906,"Fried rice, Puerto Rican style",1.3,2.249
993816,"Congee, with vegetables",1.9,4.731
993946,Biryani with vegetables,2.9,4.9879999999999995
994596,Beans and white rice,6.2,10.54
994726,"Beans and rice, with tomatoes",5.2,8.84
994855,"Beans and rice, with meat",5.4,9.18
994986,Kidney beans and white rice,9.0,15.299999999999999
995115,Black beans and white rice,6.1,10.37
995245,Pinto beans and white rice,6.2,10.54
1000056,"Rice, cooked with coconut milk",0.1,0.2
1000185,Beans and brown rice,6.3,10.709999999999999
1000315,Kidney beans and brown rice,9.0,15.299999999999999
1000445,Black beans and brown rice,6.2,10.54
1000575,Pinto beans and brown rice,6.3,10.709999999999999
1005272,"Stuffed pepper, with meat",15.4,30.492
1006231,Rice pilaf,3.0,6.18
1006361,Dirty rice,2.9,5.742
1006506,Flavored rice mixture,4.7,10.246
1006880,"Flavored rice, brown and wild",2.4,5.207999999999999
1007401,"Spanish rice, from restaurant",13.0,31.590000000000003
1007531,"Spanish rice, fat added",3.3,8.019
1007660,"Spanish rice, no added fat",1.5,3.6450000000000005
1007790,"Spanish rice, NS as to fat",3.3,8.019
1007920,Spanish rice with ground beef,3.0,6.8999999999999995
1008051,Rice dressing,7.4,12.358
1008180,Rice with raisins,3.0,5.550000000000001
1013706,Tabbouleh,97.6,156.16
1016436,"Soup, NFS",0.0,0.0
1016566,"Noodle soup, NFS",1.4,3.374
1016695,"Rice soup, NFS",0.2,0.48200000000000004
1017216,"Beef noodle soup, home recipe",16.6,40.504000000000005
1019230,Matzo ball soup,16.7,40.247
1020040,"Instant soup, noodle",0.0,0.0
1020351,"Soup, mostly noodles",1.4,3.262
1020920,Wonton soup,0.9,2.169
1021928,"Clementine, raw",0.0,0.0
1022204,"Grapefruit, raw",0.0,0.0
1022513,"Grapefruit, canned",0.0,0.0
1022756,"Kumquat, raw",0.0,0.0
1022965,"Lemon, raw",0.0,0.0
1023195,Lemon pie filling,4.2,10.920000000000002
1023356,"Lime, raw",0.6,1.2
1023617,"Orange, raw",0.0,0.0
1023878,"Orange, canned, NFS",0.0,0.0
1024138,"Orange, canned, juice pack",0.0,0.0
1024396,"Orange, canned, in syrup",0.0,0.0
1024658,"Tangerine, raw",0.0,0.0
1032361,"Fruit mixture, dried",5.7,9.120000000000001
1032507,"Apple, dried",3.0,2.7
1032702,"Apricot, dried",3.1,4.960000000000001
1032895,"Blueberries, dried",59.4,95.04
1033091,"Cherries, dried",5.1,8.16
1033287,Banana chips,1.3,0.9359999999999999
1033482,"Currants, dried",3.3,5.28
1033677,"Cranberries, dried",7.6,12.16
1033870,Date,2.7,4.32
1034067,"Fig, dried",15.6,24.96
1034261,"Mango, dried",13.2,21.12
1034455,"Papaya, dried",6.9,11.040000000000001
1034651,"Peach, dried",15.7,25.12
1034846,"Pear, dried",20.4,32.64
1035040,"Persimmon, dried",6.9,11.040000000000001
1035237,"Pineapple, dried",1.9,3.04
1035430,"Prune, dried",59.5,95.2
1035655,Raisins,3.5,5.6000000000000005
1035950,"Tamarind, dried",2.5,4.0
1036145,"Fruit, NFS",3.8,5.699999999999999
1036325,"Fruit, pickled",3.3,7.919999999999999
1036550,"Apple, raw",2.2,2.75
1037005,"Applesauce, regular",0.6,1.5
1037265,"Applesauce, unsweetened",0.5,1.225
1037526,"Applesauce, flavored",0.6,1.5
1037755,Apple pie filling,0.5,1.3
1037901,"Apple, baked",2.6,4.9399999999999995
1038112,"Apricot, raw",3.3,5.115
1038356,"Apricot, canned",2.0,5.0
1038582,"Avocado, raw",21.0,31.5
1038924,"Banana, raw",0.1,0.15000000000000002
1039266,"Banana, fried",0.4,0.5599999999999999
1039571,"Cantaloupe, raw",2.7,4.1850000000000005
1040127,"Starfruit, raw",0.0,0.0
1040372,"Cherries, maraschino",1.5,2.4000000000000004
1040550,Cherry pie filling,2.0,5.2
1040695,"Cherries, raw",2.1,3.1500000000000004
1040890,"Cherries, canned",1.3,3.25
1041086,"Cherries, frozen",2.1,3.1500000000000004
1041297,Dragon fruit,4.4,7.920000000000001
1041671,"Fig, canned",3.5,8.75
1041867,"Grapes, raw",14.6,21.9
1042075,"Guava, raw",2.6,4.29
1042335,"Kiwi fruit, raw",40.3,72.53999999999999
1042582,Lychee,0.4,0.76
1042883,"Honeydew melon, raw",2.9,4.495
1043441,"Mango, raw",4.2,6.93
1043700,"Mango, canned",3.2,8.0
1043945,"Mango, frozen",4.2,6.300000000000001
1044156,"Nectarine, raw",2.0,3.1
1044431,"Papaya, raw",2.6,4.29
1044727,"Papaya, canned",2.0,5.0
1044921,"Passion fruit, raw",0.7,1.652
1045133,"Peach, raw",3.0,4.65
1045405,"Peach, canned, NFS",1.5,3.75
1045733,"Peach, canned, in syrup",1.6,4.0
1046056,"Peach, canned, juice pack",1.5,3.6750000000000003
1046368,"Peach, frozen",3.0,4.5
1046626,"Pear, raw",4.2,5.25
1046870,"Pear, Asian, raw",4.5,5.625
1047095,"Pear, canned, NFS",0.3,0.75
1047423,"Pear, canned, in syrup",0.3,0.75
1047745,"Pear, canned, juice pack",0.3,0.735
1048268,"Pineapple, raw",0.7,1.1549999999999998
1048590,"Pineapple, canned, NFS",0.3,0.75
1048915,"Pineapple, canned, in syrup",0.3,0.75
1049244,"Pineapple, canned, juice pack",0.3,0.735
1049535,"Pineapple, frozen",0.7,1.0499999999999998
1049730,"Plum, raw",6.4,9.920000000000002
1049927,"Plum, canned",4.8,12.0
1050120,"Pomegranate, raw",16.4,28.699999999999996
1050300,Rhubarb,26.3,63.12
1050705,"Watermelon, raw",0.1,0.15500000000000003
1051276,"Berries, NFS",7.3,10.95
1051420,"Blackberries, raw",19.8,29.700000000000003
1051616,"Blackberries, frozen",19.8,29.700000000000003
1051812,"Blueberries, raw",19.3,28.950000000000003
1051990,"Bluberries, canned",19.9,49.75
1052136,"Blueberries, frozen",16.4,24.599999999999998
1052315,Blueberry pie filling,3.9,10.14
1052460,"Cranberries, raw",5.0,5.0
1052656,Cranberry sauce,1.4,3.9199999999999995
1052850,"Raspberries, raw",7.8,11.7
1053047,"Raspberries, frozen",7.8,11.7
1053241,"Strawberries, raw",2.1,3.1500000000000004
1053421,"Strawberries, canned",1.5,3.75
1053565,"Strawberries, frozen",2.2,3.3000000000000003
1053746,Ambrosia,0.2,0.386
1054168,"Fruit cocktail, canned, NFS",2.3,5.75
1054916,"Fruit mixture, frozen",2.6,3.9000000000000004
1055045,Apple salad with dressing,26.3,36.031000000000006
1056736,Lime souffle,0.7,0.84
1057516,"Soup, fruit",2.0,4.84
1058052,Sorbet,0.4,0.8
1065833,"Fruit smoothie, light",3.1,6.696000000000001
1066176,"Fruit smoothie, bottled",2.1,5.208
1077941,Baby Toddler yogurt melts,12.2,3.416
1078166,"Potato, NFS",3.9,6.24
1078493,"Potato, baked, NFS",0.3,0.39
1078818,"Potato, baked, peel not eaten",0.3,0.39
1079171,"Potato, boiled, NFS",3.9,6.24
1079630,"Potato, boiled, ready-to-heat",3.9,6.24
1085480,"Potato, canned, NS as to fat",5.1,9.435
1085870,"Potato, canned, no added fat",1.5,2.7750000000000004
1086128,"Potato, roasted, NFS",3.9,6.24
1092045,"Potato, roasted, ready-to-heat",3.9,6.24
1094123,"Potato chips, NFS",22.1,5.525
1094578,"Potato chips, plain",22.1,5.525
1095940,"Potato chips, cheese flavored",16.1,4.025
1096396,"Potato chips, other flavored",16.1,4.025
1096851,"Potato chips, ruffled, plain",22.1,7.072000000000001
1100169,"Potato chips, baked, plain",7.2,1.8
1100626,"Potato chips, baked, flavored",7.2,1.8
1101075,"Potato chips, reduced fat",13.2,3.3
1102053,"Potato chips, unsalted",11.9,2.975
1102509,"Potato chips, lightly salted",22.1,5.525
1103484,"Potato chips, popped, plain",7.2,1.4400000000000002
1103941,"Potato chips, popped, flavored",7.2,1.4400000000000002
1104396,"Potato chips, popped, NFS",7.2,1.4400000000000002
1104845,"Potato sticks, plain",22.1,8.398000000000001
1105302,"Potato sticks, flavored",21.9,8.322
1105760,"Potato sticks, fry shaped",21.9,8.322
1106211,Vegetable chips,31.0,9.299999999999999
1106591,"Potato, scalloped, NFS",1.6,4.0
1106851,"Potato, scalloped, from fresh",1.6,4.0
1107739,"Potato, french fries, NFS",16.7,10.02
1113561,"Potato, french fries, school",10.9,6.54
1116097,"Potato, home fries, NFS",15.1,30.2
1116420,"Potato, home fries, from fresh",13.5,27.0
1116942,"Potato, hash brown, NFS",17.9,28.64
1118095,"Potato, hash brown, from fresh",14.3,22.880000000000003
1119930,"Potato, mashed, NFS",1.5,3.75
1120110,"Potato, mashed, from fast food",5.9,14.75
1120371,"Potato, mashed, ready-to-heat",2.4,6.0
1122532,Potato patty,8.6,13.76
1122725,"Potato tots, NFS",10.0,13.0
1123182,"Potato tots, school",10.9,14.170000000000002
1123570,"Potato tots, frozen, baked",2.6,3.3800000000000003
1123767,"Potato tots, frozen, fried",10.0,13.0
1126136,"Potato, baked, peel eaten",2.0,2.6
1129665,"Potato salad, German style",2.8,4.8999999999999995
1129796,"Potato salad, from restaurant",26.2,72.05
1131810,Stewed potatoes,3.7,9.25
1131941,Stewed potatoes with tomatoes,6.2,15.5
1132656,Potato and cheese soup,4.1,10.168
1132786,Potato chowder,0.8,1.984
1133093,"Plantain, cooked, no added fat",28.7,57.4
1133401,"Plantain, cooked with oil",31.1,52.870000000000005
1134313,Plantain chips,28.6,10.868
1134751,"Green banana, fried",31.1,52.870000000000005
1134930,"Cassava, cooked",4.4,7.040000000000001
1135061,Yuca fries,16.7,23.38
1135321,"Dasheen, cooked",3.4,5.44
1135451,"Taro, cooked",3.4,5.44
1135856,"Beet greens, raw",400.0,152.0
1136036,"Beet greens, cooked",418.8,628.2
1136165,"Broccoli raab, raw",224.0,89.60000000000001
1136295,"Broccoli raab, cooked",228.2,387.94
1136441,"Chard, raw",830.0,298.8
1136621,"Chard, cooked",866.4,1299.6
1136750,"Collards, raw",437.1,157.356
1138456,"Cress, raw",541.9,270.95
1138635,"Cress, cooked",566.5,793.0999999999999
1138766,"Dandelion greens, raw",778.4,428.12
1138895,"Dandelion greens, cooked",812.6,893.8600000000001
1139074,"Romaine lettuce, raw",126.3,44.205
1139562,"Escarole, cooked",207.4,279.99
1140000,"Greens, NS as to form, cooked",410.0,553.5
1140566,"Kale, raw",390.0,97.5
1141235,"Kale, NS as to form, cooked",408.4,551.34
1141366,"Kale, fresh, cooked, fat added",408.4,551.34
1141625,"Lambsquarter, cooked",480.6,889.1100000000001
1141755,"Mustard greens, raw",257.5,144.20000000000002
1142665,"Poke greens, cooked",106.8,160.2
1142812,"Radicchio, raw",255.2,102.08
1143039,"Spinach, raw",482.9,120.725
1143965,"Spinach, NS as to form, cooked",552.6,1022.3100000000001
1145005,"Spinach, creamed",341.4,682.8
1145135,Spinach souffle,133.1,133.1
1145266,Spinach and cheese casserole,355.2,710.4
1145395,Palak Paneer,177.6,355.2
1145525,Channa Saag,363.7,891.065
1145655,"Taro leaves, cooked",115.4,173.10000000000002
